Campaign_ID,Customer_ID,Campaign_Type,Campaign_Objective,Campaign_Cost_INR_x,Campaign_Duration_Days,Impressions,Clicks,Device_Type,Time_of_Day,CTR,Age,Gender,City_Tier,Marital_Status,Has_Kids,Annual_Income_INR,Customer_Tenure_Months,Loyalty_Tier,Purchase_Made,Purchase_Value_INR,Discount_Applied_Percent,Payment_Mode,Repeat_Purchase_30_Days,Net_Revenue_INR,Campaign_Cost_INR_y,ROI_INR,Income_Segment,Campaign_Date,Month,Month_Num
50012,11012,Google Ads,Conversion,1043,23,20073,8314,Mobile,Afternoon,0.414188213022468,63,Female,Tier 3,Single,1,2251539,86,Silver,0,19665,10,COD,0,0.0,1043,-1043.0,,2023-06-15,Jun,6
50013,11013,SMS,Retention,511,14,109684,5441,Mobile,Morning,0.0496061412785821,47,Female,Tier 2,Single,0,1749926,73,Silver,0,19536,0,UPI,1,0.0,511,-511.0,>10L,2023-06-30,Jun,6
50014,11014,SMS,Retention,930,20,34080,5309,Mobile,Night,0.1557805164319249,29,Male,Tier 1,Married,1,2463584,65,Bronze,0,1127,10,Credit Card,0,0.0,930,-930.0,,2023-07-15,Jul,7
50015,11015,Google Ads,Retention,346,7,66903,5168,Mobile,Evening,0.0772461623544534,60,Male,Tier 1,Married,1,315846,85,Bronze,0,15380,5,UPI,0,0.0,346,-346.0,3-6L,2023-07-30,Jul,7
50016,11016,SMS,Conversion,1782,8,60686,2008,Mobile,Afternoon,0.0330883564578321,59,Male,Tier 1,Married,0,2597101,31,Silver,1,18994,5,Debit Card,0,18044.3,1782,16262.3,,2023-08-14,Aug,8
50017,11017,SMS,Awareness,1132,23,24797,8889,Mobile,Afternoon,0.3584707827559785,25,Female,Tier 2,Married,0,2874529,71,Bronze,1,2320,5,UPI,0,2204.0,1132,1072.0,,2023-08-29,Aug,8
50018,11018,SMS,Awareness,890,16,31043,1307,Mobile,Night,0.042102889540315,28,Female,Tier 1,Married,1,2616752,34,Gold,1,22598,5,COD,0,21468.1,890,20578.1,,2023-09-13,Sep,9
50019,11019,Email,Retention,1773,27,86593,7870,Mobile,Afternoon,0.0908849445105262,21,Female,Tier 1,Married,0,1873582,82,Gold,0,23002,0,Debit Card,0,0.0,1773,-1773.0,>10L,2023-09-28,Sep,9
50020,11020,Email,Awareness,244,18,118825,2935,Mobile,Afternoon,0.0247001893540921,32,Male,Tier 3,Single,0,1940175,3,Bronze,0,1691,0,Debit Card,0,0.0,244,-244.0,>10L,2023-10-13,Oct,10
50021,11021,Instagram Ads,Conversion,1143,26,16153,5771,Desktop,Morning,0.3572710951526032,27,Female,Tier 3,Married,0,1387906,79,Silver,1,23787,20,Credit Card,0,19029.6,1143,17886.6,>10L,2023-10-28,Oct,10
50022,11022,SMS,Retention,1621,11,56059,6055,Mobile,Night,0.1080112024830981,40,Female,Tier 2,Single,0,2526923,23,Silver,0,20654,10,Credit Card,1,0.0,1621,-1621.0,,2023-11-12,Nov,11
50023,11023,Google Ads,Awareness,1144,7,102899,7036,Desktop,Night,0.0683777296183636,26,Female,Tier 1,Single,1,2397664,25,Bronze,0,11028,5,UPI,0,0.0,1144,-1144.0,,2023-11-27,Nov,11
50024,11024,Google Ads,Retention,96,10,7531,7426,Desktop,Afternoon,0.9860576284689948,45,Female,Tier 2,Single,1,1347906,87,Silver,0,8384,10,UPI,0,0.0,96,-96.0,>10L,2023-12-12,Dec,12
50025,11025,SMS,Awareness,474,27,10604,6081,Mobile,Afternoon,0.5734628442097321,21,Male,Tier 1,Single,1,1435891,90,Silver,0,23473,15,Credit Card,0,0.0,474,-474.0,>10L,2023-12-27,Dec,12
50026,11026,Instagram Ads,Retention,1536,15,13915,1347,Desktop,Evening,0.0968020122170319,55,Male,Tier 2,Married,1,339727,9,Silver,0,23974,0,Credit Card,1,0.0,1536,-1536.0,3-6L,2024-01-11,Jan,1
50027,11027,Instagram Ads,Conversion,1576,13,67286,5117,Desktop,Evening,0.0760485093481556,30,Male,Tier 3,Single,0,1138645,15,Bronze,0,15074,0,Credit Card,1,0.0,1576,-1576.0,>10L,2024-01-26,Jan,1
50028,11028,SMS,Awareness,645,3,67294,23,Mobile,Afternoon,0.0003417838143073,35,Female,Tier 1,Single,1,2646231,67,Silver,1,22739,0,Credit Card,0,22739.0,645,22094.0,,2024-02-10,Feb,2
50029,11029,Instagram Ads,Conversion,1506,21,38241,2374,Desktop,Night,0.0620799665280719,59,Female,Tier 1,Married,1,449485,23,Bronze,0,7178,10,UPI,0,0.0,1506,-1506.0,3-6L,2024-02-25,Feb,2
50030,11030,SMS,Conversion,1486,9,78848,6645,Mobile,Morning,0.0842760754870129,25,Male,Tier 1,Married,0,2855405,16,Silver,1,538,0,Debit Card,0,538.0,1486,-948.0,,2024-03-11,Mar,3
50031,11031,Instagram Ads,Conversion,875,16,75401,3638,Mobile,Night,0.0482486969668837,30,Male,Tier 1,Single,0,1985060,33,Bronze,1,19713,5,Credit Card,0,18727.35,875,17852.35,>10L,2024-03-26,Mar,3
50032,11032,SMS,Retention,1102,5,19832,6943,Mobile,Morning,0.3500907624041952,44,Male,Tier 2,Married,0,714526,87,Bronze,1,2242,15,Debit Card,1,1905.7,1102,803.7,6-10L,2024-04-10,Apr,4
50033,11033,Email,Conversion,1974,24,78333,8674,Mobile,Afternoon,0.1107323860952599,56,Female,Tier 1,Married,1,1949690,65,Gold,0,17396,5,UPI,0,0.0,1974,-1974.0,>10L,2024-04-25,Apr,4
50034,11034,Email,Conversion,1213,12,68949,187,Mobile,Morning,0.0027121495598195,24,Male,Tier 1,Single,0,1222975,73,Bronze,1,7457,5,Debit Card,0,7084.15,1213,5871.15,>10L,2024-05-10,May,5
50035,11035,Instagram Ads,Conversion,1508,13,30644,4147,Mobile,Evening,0.1353282861245268,29,Male,Tier 3,Single,1,2382763,11,Silver,0,10335,20,Debit Card,0,0.0,1508,-1508.0,,2024-05-25,May,5
50036,11036,Google Ads,Awareness,80,6,24623,2621,Mobile,Evening,0.1064451935182553,40,Female,Tier 1,Single,1,680510,15,Bronze,0,5073,10,UPI,1,0.0,80,-80.0,6-10L,2024-06-09,Jun,6
50037,11037,Instagram Ads,Conversion,1595,16,92945,4273,Mobile,Evening,0.0459734251439023,22,Female,Tier 2,Married,1,2465640,49,Platinum,1,8350,5,Debit Card,0,7932.5,1595,6337.5,,2024-06-24,Jun,6
50038,11038,Instagram Ads,Conversion,337,21,100682,2381,Mobile,Afternoon,0.0236487157585268,21,Female,Tier 2,Single,1,1341479,6,Platinum,1,16481,20,UPI,0,13184.8,337,12847.8,>10L,2024-07-09,Jul,7
50039,11039,Google Ads,Retention,951,22,85212,4683,Desktop,Evening,0.0549570483030559,37,Female,Tier 1,Married,0,1285082,39,Bronze,1,15110,20,Debit Card,0,12088.0,951,11137.0,>10L,2024-07-24,Jul,7
50040,11040,Instagram Ads,Conversion,1265,16,117835,7144,Mobile,Night,0.0606271481308609,52,Male,Tier 1,Married,0,739730,44,Platinum,0,19448,0,Debit Card,0,0.0,1265,-1265.0,6-10L,2024-08-08,Aug,8
50041,11041,SMS,Retention,1604,19,37771,368,Desktop,Morning,0.00974292446586,50,Male,Tier 1,Married,0,393093,28,Platinum,0,24515,10,UPI,1,0.0,1604,-1604.0,3-6L,2024-08-23,Aug,8
50042,11042,Instagram Ads,Conversion,335,26,70232,5990,Mobile,Morning,0.0852887572616471,49,Female,Tier 3,Married,0,2356708,93,Bronze,0,6520,10,Debit Card,0,0.0,335,-335.0,,2024-09-07,Sep,9
50043,11043,Email,Conversion,256,14,95438,5196,Desktop,Morning,0.0544437226262075,28,Female,Tier 1,Married,0,1576729,55,Bronze,0,20630,10,Debit Card,0,0.0,256,-256.0,>10L,2024-09-22,Sep,9
50044,11044,Google Ads,Awareness,1613,24,117495,6096,Mobile,Morning,0.0518830588535682,44,Female,Tier 2,Single,0,469362,92,Bronze,0,6018,10,COD,0,0.0,1613,-1613.0,3-6L,2024-10-07,Oct,10
50045,11045,Email,Retention,1260,17,37339,8184,Mobile,Evening,0.2191810171670371,31,Female,Tier 2,Single,0,831577,31,Bronze,0,24056,0,Debit Card,0,0.0,1260,-1260.0,6-10L,2024-10-22,Oct,10
50046,11046,Instagram Ads,Awareness,514,15,47271,326,Mobile,Night,0.006896405830213,62,Male,Tier 1,Married,1,848642,24,Silver,0,2210,10,Debit Card,0,0.0,514,-514.0,6-10L,2024-11-06,Nov,11
50047,11047,Instagram Ads,Awareness,1194,25,20505,1382,Mobile,Night,0.067398195562058,56,Female,Tier 2,Married,1,568156,60,Silver,0,5275,0,COD,1,0.0,1194,-1194.0,3-6L,2024-11-21,Nov,11
50048,11048,Email,Conversion,754,19,114079,6707,Desktop,Night,0.0587925910991505,21,Female,Tier 2,Married,0,1288528,33,Silver,0,17226,15,Debit Card,0,0.0,754,-754.0,>10L,2024-12-06,Dec,12
50049,11049,Influencer,Retention,1251,16,51861,7119,Desktop,Evening,0.1372707815121189,28,Male,Tier 1,Married,0,1979922,64,Bronze,0,20492,0,UPI,0,0.0,1251,-1251.0,>10L,2024-12-21,Dec,12
50050,11050,Google Ads,Conversion,543,3,83353,1936,Mobile,Evening,0.0232265185416241,44,Female,Tier 1,Single,0,1209859,90,Silver,1,16572,15,UPI,0,14086.2,543,13543.2,>10L,2025-01-05,Jan,1
50051,11051,Influencer,Conversion,1811,29,14339,8419,Mobile,Night,0.5871399679196597,49,Male,Tier 2,Single,0,1429461,45,Platinum,1,14703,0,COD,0,14703.0,1811,12892.0,>10L,2025-01-20,Jan,1
50052,11052,Google Ads,Retention,1508,17,37302,4785,Desktop,Evening,0.1282773041659964,53,Female,Tier 1,Married,0,821729,72,Bronze,0,18834,15,COD,1,0.0,1508,-1508.0,6-10L,2025-02-04,Feb,2
50053,11053,Influencer,Retention,304,13,4002,1457,Mobile,Evening,0.3640679660169915,42,Male,Tier 2,Single,0,2871454,23,Silver,0,3109,0,Credit Card,1,0.0,304,-304.0,,2025-02-19,Feb,2
50054,11054,Google Ads,Awareness,1356,28,2034,1119,Mobile,Evening,0.5501474926253688,57,Male,Tier 2,Married,1,801042,77,Bronze,0,23314,5,Credit Card,0,0.0,1356,-1356.0,6-10L,2025-03-06,Mar,3
50055,11055,SMS,Awareness,1473,6,47924,6401,Desktop,Afternoon,0.1335656456055421,56,Male,Tier 2,Single,1,1094591,7,Gold,0,6547,0,Credit Card,1,0.0,1473,-1473.0,>10L,2025-03-21,Mar,3
50056,11056,SMS,Conversion,1301,20,15803,8735,Mobile,Morning,0.5527431500348036,54,Female,Tier 1,Single,1,1319252,40,Silver,0,18927,0,UPI,0,0.0,1301,-1301.0,>10L,2025-04-05,Apr,4
50057,11057,Email,Retention,442,4,44154,1053,Mobile,Afternoon,0.0238483489604565,24,Male,Tier 1,Single,0,1307773,70,Platinum,1,7258,10,Debit Card,1,6532.2,442,6090.2,>10L,2025-04-20,Apr,4
50058,11058,Google Ads,Conversion,533,24,90571,5707,Mobile,Evening,0.0630113391703746,48,Female,Tier 1,Single,1,2797096,71,Bronze,0,14063,15,Credit Card,0,0.0,533,-533.0,,2025-05-05,May,5
50059,11059,SMS,Retention,1659,24,19094,896,Mobile,Night,0.046925735833246,54,Female,Tier 2,Single,0,2369247,89,Silver,0,12021,5,COD,0,0.0,1659,-1659.0,,2025-05-20,May,5
50060,11060,Email,Awareness,1258,12,42030,2009,Mobile,Evening,0.047799191054009,40,Female,Tier 2,Married,1,731551,39,Silver,1,13565,0,Credit Card,0,13565.0,1258,12307.0,6-10L,2025-06-04,Jun,6
50061,11061,Instagram Ads,Awareness,657,23,52844,284,Mobile,Night,0.0053743092877147,48,Female,Tier 1,Married,0,1691338,32,Bronze,1,11133,10,COD,0,10019.7,657,9362.7,>10L,2025-06-19,Jun,6
50062,11062,Email,Conversion,550,17,74419,2347,Mobile,Morning,0.0315376449562611,25,Female,Tier 2,Married,0,726971,20,Bronze,1,7125,0,UPI,0,7125.0,550,6575.0,6-10L,2025-07-04,Jul,7
50063,11063,Instagram Ads,Awareness,867,11,4605,4080,Desktop,Evening,0.8859934853420195,40,Male,Tier 3,Single,0,2423855,73,Platinum,1,9785,10,UPI,1,8806.5,867,7939.5,,2025-07-19,Jul,7
50064,11064,SMS,Conversion,824,16,55496,3588,Mobile,Morning,0.0646533083465475,54,Female,Tier 1,Single,0,2460308,83,Bronze,0,15669,15,Credit Card,1,0.0,824,-824.0,,2025-08-03,Aug,8
50065,11065,SMS,Retention,585,19,52526,1128,Mobile,Night,0.021475079008491,51,Female,Tier 2,Single,1,687554,24,Silver,0,14688,0,Debit Card,0,0.0,585,-585.0,6-10L,2025-08-18,Aug,8
50066,11066,SMS,Conversion,1752,15,7439,5798,Desktop,Morning,0.7794058341174889,58,Male,Tier 1,Single,0,919474,86,Bronze,0,15223,10,UPI,0,0.0,1752,-1752.0,6-10L,2025-09-02,Sep,9
50067,11067,Influencer,Conversion,1302,29,96883,8215,Desktop,Afternoon,0.0847929977395415,30,Female,Tier 1,Married,0,765503,90,Platinum,0,4193,5,COD,0,0.0,1302,-1302.0,6-10L,2025-09-17,Sep,9
50068,11068,Email,Conversion,1438,4,81041,2049,Mobile,Morning,0.02528349847608,50,Female,Tier 2,Single,1,2611189,12,Gold,1,2511,15,Credit Card,0,2134.35,1438,696.3499999999999,,2025-10-02,Oct,10
50069,11069,Influencer,Awareness,1280,17,34602,7511,Desktop,Evening,0.2170683775504306,38,Female,Tier 1,Single,1,2553424,80,Silver,0,16550,5,UPI,0,0.0,1280,-1280.0,,2025-10-17,Oct,10
50070,11070,Google Ads,Awareness,1310,15,117440,7557,Mobile,Evening,0.0643477520435967,52,Male,Tier 2,Married,0,1620573,87,Silver,0,17287,10,Debit Card,0,0.0,1310,-1310.0,>10L,2025-11-01,Nov,11
50071,11071,SMS,Conversion,504,24,1192,6114,Desktop,Afternoon,1.0,23,Female,Tier 1,Single,0,476723,14,Bronze,0,22671,15,Credit Card,0,0.0,504,-504.0,3-6L,2025-11-16,Nov,11
50072,11072,Google Ads,Retention,1227,23,41097,6878,Mobile,Afternoon,0.1673601479426722,40,Male,Tier 1,Married,1,856663,12,Silver,0,7858,10,Debit Card,0,0.0,1227,-1227.0,6-10L,2025-12-01,Dec,12
50073,11073,SMS,Conversion,106,10,24246,8238,Mobile,Night,0.3397673843108141,39,Male,Tier 3,Married,0,1602997,66,Silver,1,9095,5,Debit Card,0,8640.25,106,8534.25,>10L,2025-12-16,Dec,12
50074,11074,SMS,Awareness,1619,14,90249,3279,Mobile,Night,0.0363328125519396,42,Male,Tier 1,Single,0,2073878,65,Silver,1,9005,20,COD,1,7204.0,1619,5585.0,,2025-12-31,Dec,12
50075,11075,Email,Retention,1124,28,109097,3254,Mobile,Night,0.029826668011036,24,Male,Tier 1,Married,1,2040192,38,Gold,0,2967,10,Credit Card,0,0.0,1124,-1124.0,,2026-01-15,Jan,1
50076,11076,Email,Awareness,1900,6,26952,8858,Desktop,Evening,0.328658355595132,32,Male,Tier 1,Married,1,2604082,93,Bronze,0,20830,15,Debit Card,0,0.0,1900,-1900.0,,2026-01-30,Jan,1
50077,11077,Google Ads,Retention,408,22,11082,4581,Mobile,Evening,0.4133730373578776,37,Female,Tier 2,Single,1,882222,82,Gold,0,4655,0,COD,0,0.0,408,-408.0,6-10L,2026-02-14,Feb,2
50078,11078,Email,Conversion,984,19,106575,7645,Desktop,Afternoon,0.0717335209946047,33,Male,Tier 1,Married,1,2014322,20,Bronze,0,19417,10,Credit Card,1,0.0,984,-984.0,,2026-03-01,Mar,3
50079,11079,Email,Conversion,1961,6,83974,2635,Mobile,Night,0.0313787600924095,50,Female,Tier 1,Single,1,1960564,46,Bronze,0,10164,10,Credit Card,0,0.0,1961,-1961.0,>10L,2026-03-16,Mar,3
50080,11080,Email,Conversion,1102,25,93950,1835,Mobile,Afternoon,0.01953166577967,64,Female,Tier 3,Married,1,1095579,29,Bronze,1,16746,15,UPI,0,14234.1,1102,13132.1,>10L,2026-03-31,Mar,3
50081,11081,Email,Conversion,1736,16,6899,5556,Mobile,Afternoon,0.8053341063922308,62,Female,Tier 3,Married,1,542215,11,Bronze,1,11075,5,Credit Card,1,10521.25,1736,8785.25,3-6L,2026-04-15,Apr,4
50082,11082,Influencer,Awareness,1393,4,87760,2390,Mobile,Afternoon,0.0272333637192342,30,Male,Tier 1,Married,1,2471148,35,Platinum,0,9480,20,Debit Card,0,0.0,1393,-1393.0,,2026-04-30,Apr,4
50083,11083,Google Ads,Awareness,856,14,113693,8796,Desktop,Morning,0.0773662406656522,33,Male,Tier 1,Single,0,1605237,31,Gold,1,8937,0,Debit Card,0,8937.0,856,8081.0,>10L,2026-05-15,May,5
50084,11084,Google Ads,Conversion,1239,24,118732,919,Mobile,Night,0.0077401206077552,24,Female,Tier 2,Married,0,1306073,79,Gold,0,7922,20,Credit Card,0,0.0,1239,-1239.0,>10L,2026-05-30,May,5
50085,11085,SMS,Retention,1932,29,13095,3402,Mobile,Night,0.2597938144329897,35,Female,Tier 1,Single,0,1220590,13,Bronze,0,12810,20,COD,0,0.0,1932,-1932.0,>10L,2026-06-14,Jun,6
50086,11086,Email,Awareness,1251,29,73701,2878,Desktop,Afternoon,0.0390496736814968,41,Male,Tier 2,Married,0,1256236,77,Bronze,1,6560,15,Credit Card,0,5576.0,1251,4325.0,>10L,2026-06-29,Jun,6
50087,11087,SMS,Awareness,1588,4,82331,7889,Mobile,Night,0.095820529326742,36,Male,Tier 2,Married,1,2122576,48,Bronze,1,14498,0,UPI,1,14498.0,1588,12910.0,,2026-07-14,Jul,7
50088,11088,Email,Awareness,1975,28,60596,8613,Desktop,Afternoon,0.1421380949237573,56,Female,Tier 3,Married,1,2049006,79,Silver,0,5978,15,Debit Card,0,0.0,1975,-1975.0,,2026-07-29,Jul,7
50089,11089,Google Ads,Retention,1581,24,108281,6318,Mobile,Afternoon,0.05834818666248,25,Female,Tier 1,Single,0,2707392,80,Bronze,0,22204,10,COD,0,0.0,1581,-1581.0,,2026-08-13,Aug,8
50090,11090,Influencer,Awareness,512,25,49824,5279,Mobile,Night,0.1059529543994862,64,Male,Tier 2,Single,0,259242,35,Silver,0,24398,10,UPI,0,0.0,512,-512.0,<3L,2026-08-28,Aug,8
50091,11091,SMS,Conversion,632,17,14190,5663,Mobile,Night,0.3990838618745596,29,Male,Tier 3,Single,1,2019709,62,Bronze,1,12743,10,Credit Card,0,11468.7,632,10836.7,,2026-09-12,Sep,9
50092,11092,Influencer,Awareness,1218,9,81315,4926,Mobile,Night,0.0605792289245526,47,Female,Tier 1,Married,1,2584562,84,Gold,0,24172,15,UPI,1,0.0,1218,-1218.0,,2026-09-27,Sep,9
50093,11093,Influencer,Conversion,1389,14,35856,6890,Mobile,Night,0.1921575189647479,64,Female,Tier 2,Single,0,1675362,27,Silver,0,12275,0,UPI,1,0.0,1389,-1389.0,>10L,2026-10-12,Oct,10
50094,11094,Google Ads,Conversion,1806,25,2540,7465,Mobile,Evening,1.0,44,Male,Tier 1,Single,1,727411,25,Bronze,0,3659,20,UPI,0,0.0,1806,-1806.0,6-10L,2026-10-27,Oct,10
50095,11095,Instagram Ads,Conversion,784,21,64090,604,Mobile,Night,0.0094242471524418,34,Male,Tier 2,Married,1,910703,7,Bronze,0,16200,0,UPI,1,0.0,784,-784.0,6-10L,2026-11-11,Nov,11
50096,11096,Email,Conversion,1560,27,2117,7736,Mobile,Night,1.0,60,Female,Tier 1,Single,1,2837495,63,Gold,1,13416,15,UPI,0,11403.6,1560,9843.6,,2026-11-26,Nov,11
50097,11097,Instagram Ads,Awareness,430,19,5504,1781,Mobile,Night,0.3235828488372093,24,Female,Tier 1,Single,0,682954,69,Gold,1,19262,5,Debit Card,0,18298.9,430,17868.9,6-10L,2026-12-11,Dec,12
50098,11098,Instagram Ads,Retention,1816,27,57443,2441,Mobile,Evening,0.0424942986960987,50,Female,Tier 2,Married,1,1934150,83,Silver,0,4749,20,Debit Card,0,0.0,1816,-1816.0,>10L,2026-12-26,Dec,12
50099,11099,Influencer,Retention,843,3,64535,5264,Mobile,Night,0.0815681413186642,33,Male,Tier 3,Married,1,1305434,79,Gold,1,1944,0,COD,0,1944.0,843,1101.0,>10L,2027-01-10,Jan,1
50100,11100,Instagram Ads,Awareness,1720,11,65286,213,Desktop,Afternoon,0.0032625677786968,33,Male,Tier 1,Single,1,1273381,74,Bronze,1,22301,0,Credit Card,0,22301.0,1720,20581.0,>10L,2027-01-25,Jan,1
50101,11101,Instagram Ads,Conversion,117,23,67569,8330,Desktop,Night,0.1232813864346075,36,Female,Tier 2,Single,0,1856196,63,Silver,1,10464,0,Credit Card,1,10464.0,117,10347.0,>10L,2027-02-09,Feb,2
50102,11102,Instagram Ads,Awareness,264,13,56779,7710,Mobile,Evening,0.1357896405361137,50,Male,Tier 2,Single,1,1456111,63,Silver,0,8863,0,UPI,0,0.0,264,-264.0,>10L,2027-02-24,Feb,2
50103,11103,Email,Retention,489,17,36962,1525,Desktop,Afternoon,0.0412585899031437,29,Female,Tier 2,Married,0,1276835,73,Bronze,0,22293,15,Debit Card,0,0.0,489,-489.0,>10L,2027-03-11,Mar,3
50104,11104,SMS,Retention,93,4,23858,7903,Mobile,Afternoon,0.3312515717998155,59,Male,Tier 3,Single,0,2785365,51,Silver,0,5256,0,Credit Card,0,0.0,93,-93.0,,2027-03-26,Mar,3
50105,11105,SMS,Conversion,1396,28,83212,3951,Desktop,Afternoon,0.0474811325289621,27,Male,Tier 1,Married,1,1927108,37,Gold,1,4887,20,Credit Card,0,3909.6,1396,2513.6,>10L,2027-04-10,Apr,4
50106,11106,Instagram Ads,Conversion,1182,14,6133,8164,Mobile,Evening,1.0,42,Male,Tier 2,Single,0,730926,11,Bronze,1,8336,15,UPI,1,7085.599999999999,1182,5903.599999999999,6-10L,2027-04-25,Apr,4
50107,11107,Instagram Ads,Retention,262,11,89351,3448,Mobile,Evening,0.0385893834428266,48,Female,Tier 1,Married,1,2220092,25,Bronze,0,22810,0,Credit Card,0,0.0,262,-262.0,,2027-05-10,May,5
50108,11108,SMS,Conversion,1186,16,27734,8673,Desktop,Morning,0.3127208480565371,28,Female,Tier 1,Single,0,1127859,11,Silver,0,20129,10,Credit Card,0,0.0,1186,-1186.0,>10L,2027-05-25,May,5
50109,11109,SMS,Awareness,1796,20,2170,237,Mobile,Evening,0.1092165898617511,38,Male,Tier 2,Single,0,1550495,64,Silver,1,12005,10,UPI,0,10804.5,1796,9008.5,>10L,2027-06-09,Jun,6
50110,11110,Influencer,Conversion,521,12,1728,833,Mobile,Morning,0.4820601851851852,63,Female,Tier 1,Single,0,732105,91,Bronze,0,1858,20,Credit Card,0,0.0,521,-521.0,6-10L,2027-06-24,Jun,6
50111,11111,Google Ads,Conversion,1961,20,22988,6751,Mobile,Evening,0.2936749608491387,26,Female,Tier 1,Married,0,909406,11,Bronze,1,10373,15,COD,0,8817.05,1961,6856.049999999999,6-10L,2027-07-09,Jul,7
50112,11112,Email,Retention,799,20,45753,7491,Mobile,Night,0.1637269687233624,57,Male,Tier 2,Single,0,1668333,6,Bronze,0,8539,5,UPI,0,0.0,799,-799.0,>10L,2027-07-24,Jul,7
50113,11113,Google Ads,Conversion,191,11,21552,1414,Mobile,Night,0.0656087602078693,62,Male,Tier 1,Single,0,891057,16,Bronze,1,3080,0,COD,0,3080.0,191,2889.0,6-10L,2027-08-08,Aug,8
50114,11114,Instagram Ads,Awareness,722,27,23588,856,Mobile,Afternoon,0.0362896387993895,62,Female,Tier 2,Married,1,2940499,90,Gold,0,16109,5,UPI,0,0.0,722,-722.0,,2027-08-23,Aug,8
50115,11115,Instagram Ads,Retention,555,10,57490,8124,Mobile,Morning,0.1413115324404244,50,Male,Tier 1,Single,0,1338217,63,Bronze,0,19464,20,Debit Card,0,0.0,555,-555.0,>10L,2027-09-07,Sep,9
50116,11116,Influencer,Retention,664,15,43467,3221,Mobile,Morning,0.0741021924678491,47,Female,Tier 2,Single,0,1832945,40,Gold,0,10991,0,COD,1,0.0,664,-664.0,>10L,2027-09-22,Sep,9
50117,11117,SMS,Awareness,339,10,23637,925,Mobile,Night,0.039133561788721,21,Female,Tier 2,Married,0,1615194,69,Silver,0,7376,0,COD,0,0.0,339,-339.0,>10L,2027-10-07,Oct,10
50118,11118,Instagram Ads,Conversion,1246,5,72282,4023,Mobile,Night,0.0556570100439943,43,Female,Tier 1,Single,1,1390350,33,Bronze,0,11241,10,COD,1,0.0,1246,-1246.0,>10L,2027-10-22,Oct,10
50119,11119,Google Ads,Conversion,1872,28,83686,7280,Mobile,Night,0.0869918504887316,55,Female,Tier 1,Married,1,1138419,13,Gold,0,4000,15,UPI,0,0.0,1872,-1872.0,>10L,2027-11-06,Nov,11
